,crime_id,census_block_geoid,zipcode,region_id,region_name
38180,2959629,420030201005,15219,271161,Central Business District
38181,2959630,420030501003,15219,271194,Middle Hill
38182,2959631,420031414001,15217,271220,Squirrel Hill South
38183,2959634,420030201002,15222,271161,Central Business District
38184,2959635,420031207002,15208,271187,Homewood West
38185,2959637,420031005002,15201,215971,Stanton Heights
38186,2959639,420030103002,15219,276217,Bluff
38187,2959640,420030305002,15219,273391,Crawford Roberts
38188,2959644,420031115003,15206,38290,East Liberty
38189,2959646,420032023002,15216,208110,Banksville
38190,2959647,,,,
38191,2959663,420039800001,15215,,
38192,2959666,420031916005,15216,208228,Beechview
38193,2959668,420032901001,15210,208967,Carrick
38194,2959670,420035626003,15220,210276,Elliott
38195,2959671,420030809001,15224,208472,Bloomfield
38196,2959673,420035627002,15233,343638,Allegheny Center
38197,2959676,420031408001,15217,271220,Squirrel Hill South
38198,2959682,420030501003,15219,271194,Middle Hill
38199,2959690,420031517001,15217,211218,Greenfield
38200,2959692,420035632002,15212,271169,East Allegheny
38201,2959697,420031914001,15211,213615,Mount Washington
38202,2959698,420030404001,15213,274732,North Oakland
38203,2959699,420032406001,15212,216452,Troy Hill
38204,2959700,420032620003,15212,343628,Spring Hill - City View
38205,2959701,420031919003,15226,208709,Brookline
38206,2959702,420035626004,15220,210276,Elliott
38207,2959703,420031919003,15226,208709,Brookline
38208,2959706,420033102005,15207,343636,Lincoln Place
38209,2959709,420032022001,15204,215587,Sheraden
38210,2959711,420035240002,15147,,
38211,2959713,420031016001,15224,273806,Garfield
38212,2959717,420035629001,15207,211463,Hazelwood
38213,2959718,420031609002,15203,271217,Southside Flats
38214,2959721,420031408001,15217,271220,Squirrel Hill South
38215,2959726,420031011002,15201,271227,Upper Lawrenceville
38216,2959727,420031413002,15217,271220,Squirrel Hill South
38217,2959728,420030405002,15213,214069,Oakland
38218,2959729,420032703002,15212,271156,Brighton Heights
38219,2959730,420030902001,15201,276248,Central Lawrenceville
38220,2959731,420031301002,15208,271185,Homewood North
38221,2959732,420032602003,15214,271206,Perry North
38222,2959733,420030806001,15224,208472,Bloomfield
38223,2959734,420031115002,15206,38290,East Liberty
38224,2959735,420031517003,15217,211218,Greenfield
38225,2959736,420031115003,15206,38290,East Liberty
38226,2959744,420035632003,15212,343624,Spring Garden
38227,2959745,420031920003,15216,208228,Beechview
38228,2959746,420032904001,15210,208967,Carrick
38229,2959747,420035624001,15210,272998,Bon Air
38230,2959748,420032406001,15212,216452,Troy Hill
38231,2959749,420030603001,15201,271192,Lower Lawrenceville
38232,2959751,420031208002,15206,274272,Larimer
38233,2959753,420031303001,15208,271186,Homewood South
38234,2959754,420031414004,15217,271220,Squirrel Hill South
38235,2959755,420032503001,15212,271162,Central Northside
38236,2959757,420032708001,15212,271156,Brighton Heights
38237,2959761,420035627002,15212,343638,Allegheny Center
38238,2959763,420032901003,15210,208967,Carrick
38239,2959765,420031304001,15208,271186,Homewood South
38240,2959769,420031208002,15206,274272,Larimer
38241,2959774,420031203002,15206,274318,Lincoln-Lemington-Belmar
38242,2959778,420032904002,15210,208967,Carrick
38243,2959780,420031702003,15203,271217,Southside Flats
38244,2959781,420030103004,15219,276217,Bluff
38245,2959786,420035626002,15220,210276,Elliott
38246,2959787,420031304001,15208,271186,Homewood South
38247,2959790,420030305002,15219,273391,Crawford Roberts
38248,2959794,420031011001,15201,271227,Upper Lawrenceville
38249,2959801,420035619002,15235,274318,Lincoln-Lemington-Belmar
38250,2959804,420031914001,15211,213615,Mount Washington
38251,2959805,420030806001,15224,208472,Bloomfield
38252,2959808,420032609001,15214,271200,Northview Heights
38253,2959810,420032206002,15212,271162,Central Northside
38254,2959813,420031413003,15217,271220,Squirrel Hill South
38255,2959814,420035632003,15212,271169,East Allegheny
38256,2959815,420030705002,15232,54374,Shadyside
38257,2959818,420031609002,15203,271217,Southside Flats
38258,2959820,420035625002,15204,215587,Sheraden
38259,2959826,420031915001,15211,213615,Mount Washington
38260,2959828,420033207001,15227,214217,Overbrook
38261,2959830,420030203001,15222,216117,Strip District
38262,2959833,420030501003,15219,271194,Middle Hill
38263,2959835,420039806001,15233,271165,Chateau
38264,2959836,420032708003,15212,271156,Brighton Heights
38265,2959838,420030201001,15222,271161,Central Business District
38266,2959843,420030802001,15224,208472,Bloomfield
38267,2959844,420032901001,15210,208967,Carrick
38268,2959845,420030501002,15219,271194,Middle Hill
38269,2959846,420039812001,15212,271199,North Shore
38270,2959847,420033001004,15210,212283,Knoxville
38271,2959849,420032904001,15210,208967,Carrick
38272,2959850,420035616004,15210,272790,Arlington
38273,2959852,420032701002,15212,271156,Brighton Heights
38274,2959855,420035620002,15213,271226,Upper Hill
38275,2959857,420035619002,15206,274318,Lincoln-Lemington-Belmar
38276,2959859,420031916002,15216,208228,Beechview
38277,2959865,420035632002,15212,271169,East Allegheny
38278,2959869,420031113001,15206,38290,East Liberty
38279,2959879,420030511001,15219,271224,Terrace Village
38280,2959887,420035629001,15207,211463,Hazelwood
38281,2959893,420031306003,15221,271172,East Hills
38282,2959894,420032902004,15210,208967,Carrick
38283,2959895,420031608003,15203,271218,Southside Slopes
38284,2959902,420031803001,15210,272753,Allentown
38285,2959906,420030201003,15219,271161,Central Business District
38286,2959935,420030802002,15224,208472,Bloomfield
38287,2959957,420032503001,15212,271162,Central Northside
38288,2959958,420030201003,15222,271161,Central Business District
38289,2959959,420031011003,15201,271227,Upper Lawrenceville
38290,2959961,420031609001,15203,271217,Southside Flats
38291,2959968,420030203001,15222,216117,Strip District
38292,2959969,,,,
38293,2959970,420031803001,15203,272753,Allentown
38294,2959971,420031807003,15211,213615,Mount Washington
38295,2959972,420031115004,15206,38290,East Liberty
38296,2959973,420031517006,15217,211218,Greenfield
38297,2959974,420031203001,15206,274318,Lincoln-Lemington-Belmar
38298,2959975,420030501003,15219,271194,Middle Hill
38299,2959976,420033204001,15227,214217,Overbrook
38300,2959977,420033001003,15210,212283,Knoxville
38301,2959978,420032206001,15212,271162,Central Northside
38302,2959979,420030809002,15224,208472,Bloomfield
38303,2959980,420031702001,15203,271217,Southside Flats
38304,2959981,420033206001,15226,208709,Brookline
38305,2959982,420035627001,15212,343638,Allegheny Center
38306,2959983,420035625002,15204,215587,Sheraden
38307,2959984,420033207001,15234,214217,Overbrook
38308,2959985,420035624002,15210,208285,Beltzhoover
38309,2960003,420031920002,15216,208228,Beechview
38310,2960050,420035619002,15206,274318,Lincoln-Lemington-Belmar
38311,2960052,420030510001,15213,271224,Terrace Village
38312,2960053,420031304003,15221,271186,Homewood South
38313,2960055,420035614003,15221,,
38314,2960056,420035625003,15204,215587,Sheraden
38315,2960057,420030903002,15224,271192,Lower Lawrenceville
38316,2960058,420031016001,15224,273806,Garfield
38317,2960059,420031114002,15206,273806,Garfield
38318,2960060,420030201003,15222,271161,Central Business District
38319,2960061,420032715002,15212,343629,Marshall - Shadeland
38320,2960063,420032206001,15212,271162,Central Northside
38321,2960064,420031207002,15208,271187,Homewood West
